	(8-9)-1.0	(8-9)-2.0	(8-9)-3.0	(8-9)-4.0	(8-9)-5.0	(8-9)-6.0	(8-9)-7.0	(8-9)-8.0	(8-9)-9.0	(8-9)-10.0	(8-9)-11.0	(8-9)-12.0	(8-9)-13.0	(8-9)-14.0	(8-9)-15.0	(8-9)-16.0	(8-9)-17.0	(8-9)-18.0	(8-9)-19.0	(8-9)-20.0	(8-9)-21.0	(8-9)-22.0	(8-9)-23.0	(8-9)-24.0	(8-9)-25.0
1.0	0.9090719012238843	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	0.09090719012238842	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07	9.090719012238843e-07
2.0	9.997600575861779e-06	0.9997600575861777	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06	9.997600575861779e-06
3.0	4.999400071991358e-06	4.999400071991358e-06	0.9998800143982715	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06	4.999400071991358e-06
4.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
5.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
6.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
7.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
8.0	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	0.9999433913426358	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06	2.3586940569065074e-06
9.0	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	0.6599543930773493	0.3399674144173344	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06	3.3996741441733445e-06
10.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
