	(13-14)-1.0	(13-14)-2.0	(13-14)-3.0	(13-14)-4.0	(13-14)-5.0	(13-14)-6.0	(13-14)-7.0	(13-14)-8.0	(13-14)-9.0	(13-14)-10.0	(13-14)-11.0	(13-14)-12.0	(13-14)-13.0	(13-14)-14.0	(13-14)-15.0	(13-14)-16.0	(13-14)-17.0	(13-14)-18.0	(13-14)-19.0	(13-14)-20.0	(13-14)-21.0	(13-14)-22.0	(13-14)-23.0	(13-14)-24.0	(13-14)-25.0
1.0	0.9979544684023146	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	1.1088382982247942e-06	0.0020200283168271033	1.1088382982247942e-06	1.1088382982247942e-06
2.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
3.0	7.4562064144418815e-06	7.4562064144418815e-06	0.9998210510460523	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06	7.4562064144418815e-06
4.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
5.0	1.5167247435938892e-05	1.5167247435938892e-05	0.9996359860615389	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05	1.5167247435938892e-05
6.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
7.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
8.0	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	0.6800757453252354	1.5112794340560789e-06	1.5112794340560789e-06	0.11082212089933224	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	0.11586979420907957	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	0.09320060269823838	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06	1.5112794340560789e-06
9.0	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	0.9997200943690987	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05	1.1662734620909906e-05
10.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
