	(14-15)-1.0	(14-15)-2.0	(14-15)-3.0	(14-15)-4.0	(14-15)-5.0	(14-15)-6.0	(14-15)-7.0	(14-15)-8.0	(14-15)-9.0	(14-15)-10.0	(14-15)-11.0	(14-15)-12.0	(14-15)-13.0	(14-15)-14.0	(14-15)-15.0	(14-15)-16.0	(14-15)-17.0	(14-15)-18.0	(14-15)-19.0	(14-15)-20.0	(14-15)-21.0	(14-15)-22.0	(14-15)-23.0	(14-15)-24.0	(14-15)-25.0	(14-15)-26.0	(14-15)-27.0	(14-15)-28.0	(14-15)-29.0	(14-15)-30.0	(14-15)-31.0	(14-15)-32.0	(14-15)-33.0	(14-15)-34.0	(14-15)-35.0	(14-15)-36.0	(14-15)-37.0	(14-15)-38.0	(14-15)-39.0	(14-15)-40.0	(14-15)-41.0	(14-15)-42.0	(14-15)-43.0	(14-15)-44.0	(14-15)-45.0	(14-15)-46.0	(14-15)-47.0	(14-15)-48.0	(14-15)-49.0	(14-15)-50.0	(14-15)-51.0	(14-15)-52.0	(14-15)-53.0	(14-15)-54.0	(14-15)-55.0	(14-15)-56.0	(14-15)-57.0	(14-15)-58.0	(14-15)-59.0	(14-15)-60.0	(14-15)-61.0
1.0	0.00010937963487251915	0.030167687719563862	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.9633789138229587	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915	0.00010937963487251915
2.0	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796
3.0	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796
4.0	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796
5.0	2.0367696796878377e-06	0.005622617706594886	2.0367696796878377e-06	2.0367696796878377e-06	0.6110309039063512	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	0.20367696796878373	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	0.1795534145465301	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06	2.0367696796878377e-06
6.0	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	0.9994003597841258	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06	9.99400359784126e-06
7.0	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796
8.0	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	0.9993696591187018	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05	1.0505681355012445e-05
9.0	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.9878380230424312	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274	0.0002026996159594274
10.0	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796	0.016393442622950796
