	Probability	ClusterId	SelectedCluster	Address	Latitude	Longitude
0	1.0	201.0	9804.0	天宫路, 大兴区, 大兴区 / Daxing, 北京市, 中国	39.67344406227857	116.30745292256178
1	1e-05	201.0	119.0	大兴区, 大兴区 / Daxing, 北京市, 中国	39.6667258	116.33331580000001
2	1e-05	201.0	7303.0	房琉路, 石楼镇, 房山区, 北京市, 中国	39.682944916190465	115.97764555706965
3	1e-05	201.0	10755.0	青塔西路, 丰台区, 丰台区 / Fengtai, 北京市, 100039, 中国	39.892202982407404	116.25927026990742
4	1e-05	201.0	7910.0	石景山区, 北京市, 100040, 中国	39.88521194	116.19989367777778
5	1e-05	201.0	2666.0	天宫路, 大兴区, 大兴区 / Daxing, 北京市, 中国	39.67380415	116.30750285
6	1e-05	201.0	7849.0	复兴路, 太平路22号, 田村, 海淀区, 北京市, 100049, 中国	39.904759675	116.26319159166668
7	1e-05	201.0	7784.0	北京工商大学-东校区, 15, 阜成路, 西城区, 北京市, 100031, 中国	39.922687575	116.31286981666666
8	1e-05	201.0	7668.0	丰台 / Fengtai, 丰台区 / Fengtai, 北京市, 100039, 中国	39.85993575	116.25758998888887
9	1e-05	201.0	7579.0	十八里店乡, 朝阳区 / Chaoyang, 北京市, 100124, 中国	39.83565794380952	116.46704420547621
