,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.033299016826978875,1.0,1.0,2011-10-01 4,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97861458837935,116.30449875695587,1.0,5.579843224810068e-06
1,3.511332218423849e-08,1.0,64.0,2011-10-01 4,"长城, 延庆区, 延庆县 / Yanqing, 中国",40.3571323951593,116.01738270436209,0.0,5.579843224810068e-06
2,3.511332218423849e-08,1.0,12.0,2011-10-01 4,"紫金数码园5号楼, 中关村南四街, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.97721239130435,116.32925536231885,0.0,5.579843224810068e-06
3,3.511332218423849e-08,1.0,111.0,2011-10-01 4,"CNIC, 4, 中关村南四街, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.98003313333333,116.32984473333336,0.0,5.579843224810068e-06
4,3.511332218423849e-08,1.0,107.0,2011-10-01 4,"海淀交通支队中关村大队, 星规路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.97716183908045,116.327778678161,0.0,5.579843224810068e-06
5,3.511332218423849e-08,1.0,99.0,2011-10-01 4,"北京银行, 中关村南路, 科育社区, 海淀路社区, 海淀区, 100190, 中国",39.97986,116.319308333333,0.0,5.579843224810068e-06
6,3.511332218423849e-08,1.0,32.0,2011-10-01 4,"中关村大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.97421821839081,116.31150954022993,0.0,5.579843224810068e-06
7,3.511332218423849e-08,1.0,95.0,2011-10-01 4,"中关村东路, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.97998892156863,116.32718764705886,0.0,5.579843224810068e-06
8,3.511332218423849e-08,1.0,93.0,2011-10-01 4,"彩和坊路, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.9765164799628,116.30291159443328,0.0,5.579843224810068e-06
9,3.511332218423849e-08,1.0,80.0,2011-10-01 4,"航天恆星大廈, 知春路, 中关村, 海淀路社区, 海淀区, 北京市, 100098, 中国",39.974901488269786,116.32260119501458,0.0,5.579843224810068e-06
