	Date	ClusterId	DistanceCluster	AvgLat	AvgLon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
0	2009-03-01	0.0	1.0	40.03020969590762	116.3624583276014	0.3667	0.9833	0.8833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2009-03-01	4.0	1.0	40.030134948851476	116.3600662351762	0.0	0.0	0.0	0.0	0.0	0.2333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2009-03-01	41.0	5.0	39.96815164545047	116.30033117060795	0.0	0.0	0.0	0.0	0.0	0.0	0.1333	0.5167	0.1333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	2009-03-01	117.0	3.0	40.01334675	116.29738549999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	2009-03-01	680.0	3.0	40.01346305018341	116.29652210654606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0667	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
5	2009-03-01	706.0	2.0	39.99068515199087	116.33009919876814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2009-03-01	745.0	2.0	39.981607489018636	116.3212113988505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6
7	2009-03-01	1199.0	1.0	40.03070001156561	116.36006330355441	0.0	0.0	0.0	0.0	0.4	0.0167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	2009-03-01	1400.0	2.0	39.99076680742473	116.32997651030358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	2009-03-01	1636.0	2.0	39.990377739988624	116.33024239079081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7333	0.25	0.5167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
