,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.9999792312005836,1.0,1.0,2009-02-01 17,"开阳里三街, 右安门, 丰台区 / Fengtai, 100067, 中国",39.86331264471725,116.36011688597472,1.0,0.9999999999760355
1,2.3076443796936542e-06,1.0,2.0,2009-02-01 17,"右安门桥, , 右安门, 丰台区 / Fengtai, 100067, 中国",39.86655976353557,116.35828588313572,0.0,0.9999999999760355
2,2.3076443796936542e-06,1.0,3.0,2009-02-01 17,"体育馆路, 崇文, 北京市, 东城区, 北京市, 100010, 中国",39.88254342307693,116.42345544405596,0.0,0.9999999999760355
3,2.3076443796936542e-06,1.0,4.0,2009-02-01 17,"Longtan Road, 崇文, 北京市, 东城区, 北京市, 100010, 中国",39.88019566915028,116.43635859052476,0.0,0.9999999999760355
4,2.3076443796936542e-06,1.0,5.0,2009-02-01 17,"永定门西滨河路, 崇文, 北京市, 东城区, 100010, 中国",39.869689,116.38967849999999,0.0,0.9999999999760355
5,2.3076443796936542e-06,1.0,6.0,2009-02-01 17,"东环中路, 荣华街道, 大兴区 / Daxing, 北京市, 100176, 中国",39.79799923051455,116.5187916428925,0.0,0.9999999999760355
6,2.3076443796936542e-06,1.0,7.0,2009-02-01 17,"宣武, 西城区, 100032, 中国",39.871373,116.359821,0.0,0.9999999999760355
7,2.3076443796936542e-06,1.0,8.0,2009-02-01 17,"华威桥, 东三环南路, 十里河村, 朝阳区 / Chaoyang, 北京市, 100061, 中国",39.870693176994294,116.45455398917377,0.0,0.9999999999760355
8,2.3076443796936542e-06,1.0,9.0,2009-02-01 17,"宣武, 西城区, 100032, 中国",39.87396073931808,116.37147407686876,0.0,0.9999999999760355
9,2.3076443796936542e-06,1.0,10.0,2009-02-01 17,"嘉创一路, 丁庄村, 通州区 / Tongzhou, 北京市, 100176, 中国",39.816583200000004,116.54685539999998,0.0,0.9999999999760355
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.9999871430224472,1.0,1.0,2009-02-01 18,"开阳里三街, 右安门, 丰台区 / Fengtai, 100067, 中国",39.86331264471725,116.36011688597472,1.0,0.9999999999908162
1,1.428553061460639e-06,1.0,2.0,2009-02-01 18,"右安门桥, , 右安门, 丰台区 / Fengtai, 100067, 中国",39.86655976353557,116.35828588313572,0.0,0.9999999999908162
2,1.428553061460639e-06,1.0,3.0,2009-02-01 18,"体育馆路, 崇文, 北京市, 东城区, 北京市, 100010, 中国",39.88254342307693,116.42345544405596,0.0,0.9999999999908162
3,1.428553061460639e-06,1.0,4.0,2009-02-01 18,"Longtan Road, 崇文, 北京市, 东城区, 北京市, 100010, 中国",39.88019566915028,116.43635859052476,0.0,0.9999999999908162
4,1.428553061460639e-06,1.0,5.0,2009-02-01 18,"永定门西滨河路, 崇文, 北京市, 东城区, 100010, 中国",39.869689,116.38967849999999,0.0,0.9999999999908162
5,1.428553061460639e-06,1.0,6.0,2009-02-01 18,"东环中路, 荣华街道, 大兴区 / Daxing, 北京市, 100176, 中国",39.79799923051455,116.5187916428925,0.0,0.9999999999908162
6,1.428553061460639e-06,1.0,7.0,2009-02-01 18,"宣武, 西城区, 100032, 中国",39.871373,116.359821,0.0,0.9999999999908162
7,1.428553061460639e-06,1.0,8.0,2009-02-01 18,"华威桥, 东三环南路, 十里河村, 朝阳区 / Chaoyang, 北京市, 100061, 中国",39.870693176994294,116.45455398917377,0.0,0.9999999999908162
8,1.428553061460639e-06,1.0,9.0,2009-02-01 18,"宣武, 西城区, 100032, 中国",39.87396073931808,116.37147407686876,0.0,0.9999999999908162
9,1.428553061460639e-06,1.0,10.0,2009-02-01 18,"嘉创一路, 丁庄村, 通州区 / Tongzhou, 北京市, 100176, 中国",39.816583200000004,116.54685539999998,0.0,0.9999999999908162
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.9999871430224472,1.0,1.0,2009-02-01 19,"开阳里三街, 右安门, 丰台区 / Fengtai, 100067, 中国",39.86331264471725,116.36011688597472,1.0,0.9999999999908162
