	(13-14)-1.0	(13-14)-2.0	(13-14)-3.0	(13-14)-4.0	(13-14)-5.0	(13-14)-6.0	(13-14)-7.0	(13-14)-8.0	(13-14)-9.0	(13-14)-10.0
1.0	0.9999658011695998	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06	3.7998700444444793e-06
2.0	5.309602947891555e-06	0.5309602947891555	5.309602947891555e-06	5.309602947891555e-06	5.309602947891555e-06	5.309602947891555e-06	0.46899722838726104	5.309602947891555e-06	5.309602947891555e-06	5.309602947891555e-06
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	0.9999100080992707	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.9997557739466499	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05	2.71362281499805e-05
7.0	8.562376915831837e-05	8.562376915831837e-05	8.562376915831837e-05	8.562376915831837e-05	8.562376915831837e-05	8.562376915831837e-05	0.9992293860775752	8.562376915831837e-05	8.562376915831837e-05	8.562376915831837e-05
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
