	(20-21)-1.0	(20-21)-3.0	(20-21)-4.0	(20-21)-7.0	(20-21)-9.0	(20-21)-10.0	(20-21)-12.0	(20-21)-15.0	(20-21)-36.0	(20-21)-42.0
1.0	0.9999887501265615	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06	1.249985937658202e-06
3.0	9.999100080992705e-06	0.9999100080992704	9.999100080992705e-06	9.999100080992705e-06	9.999100080992705e-06	9.999100080992705e-06	9.999100080992705e-06	9.999100080992705e-06	9.999100080992705e-06	9.999100080992705e-06
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
12.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
15.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
36.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
42.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
