	(19-20)-1.0	(19-20)-3.0	(19-20)-4.0	(19-20)-7.0	(19-20)-9.0	(19-20)-10.0	(19-20)-12.0	(19-20)-15.0	(19-20)-36.0	(19-20)-42.0
1.0	0.9999873832777969	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06	1.4018580226231855e-06
3.0	1.7141191998491586e-05	0.9998457292720143	1.7141191998491586e-05	1.7141191998491586e-05	1.7141191998491586e-05	1.7141191998491586e-05	1.7141191998491586e-05	1.7141191998491586e-05	1.7141191998491586e-05	1.7141191998491586e-05
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
12.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
15.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
36.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
42.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
