	(10-11)-1.0	(10-11)-3.0	(10-11)-4.0	(10-11)-7.0	(10-11)-9.0	(10-11)-10.0	(10-11)-12.0	(10-11)-15.0	(10-11)-36.0	(10-11)-42.0
1.0	0.9999862248201197	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06	1.53057554232118e-06
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
12.0	1.0907623337950898e-05	1.0907623337950898e-05	1.0907623337950898e-05	1.0907623337950898e-05	1.0907623337950898e-05	1.0907623337950898e-05	0.9999018313899587	1.0907623337950898e-05	1.0907623337950898e-05	1.0907623337950898e-05
15.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
36.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
42.0	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	7.822039833112089e-05	0.9992960164150199
