	(11-12)-1.0	(11-12)-2.0	(11-12)-3.0	(11-12)-4.0	(11-12)-5.0	(11-12)-6.0	(11-12)-7.0	(11-12)-8.0	(11-12)-9.0	(11-12)-10.0
1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
