	id	groupid	start	end	meanlat	meanlon	StartEndStayptFlag	duration
0	31.0	1	2008-11-01 05:21:00.000000	2008-11-01 06:22:30.000000	39.909880083333334	116.36793946794873	Y	61.5
1	32.0	1	2008-11-01 06:22:30.000000	2008-11-01 07:30:33.943994	39.909880083333334	116.36793946794873	Y	68.05
2	46.0	3	2008-11-01 09:52:07.962801	2008-11-01 18:54:30.000000	39.98120910835123	116.32832890507979	N	542.3666666666667
3	47.0	3	2008-11-01 18:54:30.000000	2008-11-02 03:02:22.297859	39.98120910835123	116.32832890507979	Y	487.8666666666667
4	60.0	11	2008-11-02 03:34:37.702141	2008-11-02 04:37:16.800231	39.939867400000004	116.3024782	Y	62.65
5	61.0	15	2008-11-02 08:00:43.199769	2008-11-02 09:03:21.679448	39.94938084210526	116.30367778947368	Y	62.63333333333333
6	73.0	3	2008-11-02 09:28:38.320552	2008-11-02 09:59:30.000000	39.98083881808756	116.32910155550512	N	30.85
7	74.0	3	2008-11-02 09:59:30.000000	2008-11-02 12:47:00.000000	39.98076940904378	116.32927377775255	N	167.5
8	75.0	3	2008-11-02 12:47:00.000000	2008-11-02 15:21:00.000000	39.980844465391456	116.32926223670236	Y	154.0
9	77.0	3	2008-11-02 15:21:00.000000	2008-11-02 20:26:00.000000	39.980674482695726	116.32933886835119	Y	305.0
10	78.0	3	2008-11-02 20:26:00.000000	2008-11-03 01:43:00.000000	39.98048181660016	116.32946030397224	Y	317.0
11	81.0	3	2008-11-03 01:43:00.000000	2008-11-03 03:11:00.000000	39.98040049661272	116.32947579949452	N	88.0
12	89.0	3	2008-11-03 03:11:00.000000	2008-11-03 03:59:30.000000	39.98038368145214	116.32947102187127	N	48.5
13	90.0	3	2008-11-03 03:59:30.000000	2008-11-03 05:01:30.000000	39.98063871572607	116.32930019843565	N	62.0
14	99.0	3	2008-11-03 05:01:30.000000	2008-11-03 08:35:00.000000	39.980559857863035	116.32924609921781	Y	213.5
15	100.0	3	2008-11-03 08:35:00.000000	2008-11-03 11:45:27.319153	39.980559857863035	116.32924609921781	Y	190.45
16	101.0	13	2008-11-03 11:47:32.680847	2008-11-03 16:08:17.857002	39.97628675	116.3307995	Y	260.75
17	102.0	17	2008-11-03 22:06:42.142998	2008-11-04 02:24:06.108481	39.981766	116.327284	Y	257.3833333333333
18	134.0	5	2008-11-04 03:12:53.891519	2008-11-04 03:42:00.000000	39.899225333333334	116.34051425	Y	29.1
19	135.0	9	2008-11-04 03:42:00.000000	2008-11-04 04:13:48.138783	39.8984314	116.34282820000001	Y	31.8
20	147.0	14	2008-11-04 05:18:11.861217	2008-11-04 08:17:44.914319	39.86446240740742	116.34527188888886	Y	179.55
21	148.0	4	2008-11-04 08:29:15.085681	2008-11-04 11:25:47.342206	39.86800266666666	116.34672092592592	Y	176.53333333333333
22	157.0	5	2008-11-04 11:38:12.657794	2008-11-04 19:13:30.000000	39.899523875000014	116.34052379166668	Y	455.28333333333336
23	158.0	5	2008-11-04 19:13:30.000000	2008-11-05 02:56:30.000000	39.89777966666667	116.33988633333333	Y	463.0
24	159.0	5	2008-11-05 02:56:30.000000	2008-11-05 03:39:00.000000	39.89949259090909	116.3408903939394	Y	42.5
25	160.0	5	2008-11-05 03:39:00.000000	2008-11-05 04:16:41.306519	39.89949259090909	116.3408903939394	Y	37.68333333333333
26	176.0	4	2008-11-05 05:21:18.693481	2008-11-05 07:31:00.000000	39.864634	116.345913	Y	129.68333333333334
27	177.0	4	2008-11-05 07:31:00.000000	2008-11-05 09:38:22.994651	39.866842749999996	116.34581442857142	Y	127.36666666666666
28	225.0	3	2008-11-05 11:03:37.005349	2008-11-05 12:06:00.000000	39.98046950995357	116.32939393042648	N	62.36666666666667
29	227.0	3	2008-11-05 12:06:00.000000	2008-11-05 12:59:30.000000	39.980493948790006	116.3293757882432	N	53.5
30	228.0	3	2008-11-05 12:59:30.000000	2008-11-05 13:59:00.000000	39.98051955871644	116.32936735146217	N	59.5
31	229.0	3	2008-11-05 13:59:00.000000	2008-11-05 15:07:30.000000	39.98056133725899	116.32935995891779	N	68.5
32	230.0	3	2008-11-05 15:07:30.000000	2008-11-05 15:59:30.000000	39.98059991448444	116.32935337496811	N	52.0
