	(9-10)-1.0	(9-10)-2.0	(9-10)-3.0	(9-10)-4.0	(9-10)-5.0	(9-10)-6.0	(9-10)-7.0	(9-10)-8.0	(9-10)-9.0	(9-10)-10.0	(9-10)-11.0	(9-10)-12.0	(9-10)-13.0	(9-10)-14.0	(9-10)-15.0	(9-10)-16.0	(9-10)-17.0	(9-10)-18.0	(9-10)-19.0	(9-10)-20.0	(9-10)-21.0	(9-10)-22.0	(9-10)-23.0	(9-10)-24.0	(9-10)-25.0	(9-10)-26.0	(9-10)-27.0	(9-10)-28.0	(9-10)-29.0	(9-10)-30.0	(9-10)-31.0	(9-10)-32.0	(9-10)-33.0	(9-10)-34.0	(9-10)-35.0	(9-10)-36.0
1.0	0.9999611126233995	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06	1.1110679029148884e-06
2.0	3.0175239428637514e-06	0.5811751113955584	3.0175239428637514e-06	3.0175239428637514e-06	0.02232967717719176	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	0.20059474812413797	0.05805939891229194	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	0.026494767274387102	0.1112557713981462	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06	3.0175239428637514e-06
3.0	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776
4.0	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776
5.0	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	0.9330781585994039	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	0.06687636547207654	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06	1.337527309441531e-06
6.0	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776
7.0	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	0.7644771056697045	9.996601155607074e-06	0.235183009891003	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06	9.996601155607074e-06
8.0	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	0.9996501224571381	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06	9.996501224571383e-06
9.0	4.9991501444754344e-06	0.4999150144475434	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	0.4999150144475434	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06	4.9991501444754344e-06
10.0	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776	0.02777777777777776
