	(21-22)-1.0	(21-22)-2.0	(21-22)-3.0	(21-22)-4.0	(21-22)-5.0	(21-22)-6.0	(21-22)-7.0	(21-22)-8.0	(21-22)-9.0	(21-22)-10.0	(21-22)-11.0	(21-22)-12.0	(21-22)-13.0	(21-22)-14.0	(21-22)-15.0	(21-22)-16.0	(21-22)-17.0	(21-22)-18.0	(21-22)-19.0	(21-22)-20.0	(21-22)-21.0	(21-22)-22.0	(21-22)-23.0	(21-22)-24.0	(21-22)-25.0	(21-22)-26.0	(21-22)-27.0	(21-22)-28.0	(21-22)-29.0	(21-22)-30.0	(21-22)-31.0	(21-22)-32.0	(21-22)-33.0	(21-22)-34.0	(21-22)-35.0	(21-22)-36.0	(21-22)-37.0	(21-22)-38.0
1.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
2.0	2.80136403184968e-06	0.08642962554226034	2.80136403184968e-06	0.6333359235316565	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	0.28013640318496796	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06	2.80136403184968e-06
3.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
4.0	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	0.9999072235699732	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06	2.507471081790406e-06
5.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
6.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
7.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
8.0	8.276399400396377e-06	0.15847075696444424	8.276399400396377e-06	0.15847075696444424	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	0.6827688120920964	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06	8.276399400396377e-06
9.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
10.0	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188	0.026315789473684188
