	(0-1)-1.0	(0-1)-2.0	(0-1)-3.0	(0-1)-4.0	(0-1)-5.0	(0-1)-6.0	(0-1)-7.0	(0-1)-8.0	(0-1)-9.0	(0-1)-10.0
1.0	4.999800007999679e-06	4.999800007999679e-06	0.49998000079996785	0.49998000079996785	4.999800007999679e-06	4.999800007999679e-06	4.999800007999679e-06	4.999800007999679e-06	4.999800007999679e-06	4.999800007999679e-06
2.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
