	(8-9)-1.0	(8-9)-23.0	(8-9)-25.0	(8-9)-26.0	(8-9)-27.0	(8-9)-28.0	(8-9)-29.0	(8-9)-30.0	(8-9)-31.0	(8-9)-61.0	(8-9)-63.0	(8-9)-68.0	(8-9)-73.0	(8-9)-2.0	(8-9)-85.0	(8-9)-88.0	(8-9)-104.0	(8-9)-105.0	(8-9)-32.0	(8-9)-153.0	(8-9)-160.0	(8-9)-178.0	(8-9)-186.0	(8-9)-187.0	(8-9)-188.0	(8-9)-192.0	(8-9)-141.0	(8-9)-249.0	(8-9)-159.0	(8-9)-293.0	(8-9)-338.0	(8-9)-72.0	(8-9)-366.0	(8-9)-368.0	(8-9)-219.0	(8-9)-410.0	(8-9)-412.0	(8-9)-98.0	(8-9)-100.0	(8-9)-421.0	(8-9)-432.0	(8-9)-91.0	(8-9)-490.0	(8-9)-69.0	(8-9)-511.0	(8-9)-173.0	(8-9)-534.0	(8-9)-70.0	(8-9)-581.0	(8-9)-583.0	(8-9)-585.0	(8-9)-586.0	(8-9)-608.0	(8-9)-609.0	(8-9)-610.0	(8-9)-611.0
1.0	0.9177140740518295	1.0011062223757278e-05	0.08174532858809003	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05	1.0011062223757278e-05
23.0	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832
25.0	0.00024157506945283154	0.00024157506945283154	0.9867133711800904	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154	0.00024157506945283154
26.0	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832
27.0	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	0.9998625189036555	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06	2.499656297259139e-06
28.0	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832
29.0	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	0.9980623910094939	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05	3.522925437283119e-05
30.0	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832
31.0	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	0.9994503023337133	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06	9.994503023337134e-06
61.0	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832	0.017857142857142832
