	(17-18)-1.0	(17-18)-2.0	(17-18)-3.0	(17-18)-4.0	(17-18)-5.0	(17-18)-6.0	(17-18)-7.0	(17-18)-8.0	(17-18)-9.0	(17-18)-10.0
1.0	0.9999792312005835	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06	2.3076443796936546e-06
2.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.624981250562483	3.7498875033748984e-06	3.7498875033748984e-06	3.7498875033748984e-06	3.7498875033748984e-06	3.7498875033748984e-06	0.3749887503374898	3.7498875033748984e-06	3.7498875033748984e-06	3.7498875033748984e-06
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
