	Date	StateId	AvgLat	AvgLon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
0	2008-06-01	1.0	39.97214746060814	116.32540981243844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41069323904425153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40592883027386684
1	2008-06-01	2.0	39.97557652313123	116.32987442300151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5893067609557484	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5940711697261332
2	2008-06-02	1.0	39.97214746060814	116.32540981243844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4117647058823529
3	2008-06-02	2.0	39.97557652313123	116.32987442300151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5882352941176471
4	2008-06-03	1.0	39.97214746060814	116.32540981243844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7924827351975546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21054709086602985
5	2008-06-03	2.0	39.97557652313123	116.32987442300151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20751726480244537	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7894529091339701
6	2008-06-04	1.0	39.97214746060814	116.32540981243844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2008-06-04	2.0	39.97557652313123	116.32987442300151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8	2008-06-05	1.0	39.97214746060814	116.32540981243844	0.9454565288534962	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	2008-06-05	2.0	39.97557652313123	116.32987442300151	0.054543471146503764	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
