	(16-17)-1.0	(16-17)-2.0	(16-17)-3.0	(16-17)-4.0	(16-17)-5.0	(16-17)-6.0	(16-17)-7.0	(16-17)-8.0	(16-17)-9.0	(16-17)-10.0
1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2.0	2.4690992232213844e-06	0.835370340192491	0.012345496116106922	0.01646889181888663	2.4690992232213844e-06	2.4690992232213844e-06	2.4690992232213844e-06	2.4690992232213844e-06	2.4690992232213844e-06	0.13580045727717616
3.0	1.0525318654022255e-05	1.0525318654022255e-05	0.9999052721321141	1.0525318654022255e-05	1.0525318654022255e-05	1.0525318654022255e-05	1.0525318654022255e-05	1.0525318654022255e-05	1.0525318654022255e-05	1.0525318654022255e-05
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
