	(15-16)-1.0	(15-16)-2.0	(15-16)-3.0	(15-16)-4.0	(15-16)-5.0	(15-16)-6.0	(15-16)-7.0	(15-16)-8.0	(15-16)-9.0	(15-16)-10.0	(15-16)-11.0	(15-16)-12.0	(15-16)-13.0	(15-16)-14.0	(15-16)-15.0	(15-16)-16.0	(15-16)-17.0	(15-16)-18.0	(15-16)-19.0	(15-16)-20.0	(15-16)-21.0	(15-16)-22.0	(15-16)-23.0	(15-16)-24.0	(15-16)-25.0
1.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
2.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
3.0	3.333066687998292e-06	3.333066687998292e-06	0.9999200063994875	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06	3.333066687998292e-06
4.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
5.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
6.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
7.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
8.0	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	0.8857649126516547	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	0.11420113302669453	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06	1.4762748544194247e-06
9.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
10.0	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	0.9997600575861784	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06
11.0	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	0.9999400035997854	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06	2.4998500089994636e-06
12.0	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	0.9998043473431157	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06	8.152194036815047e-06
13.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
