	(9-10)-1.0	(9-10)-3.0	(9-10)-6.0	(9-10)-13.0	(9-10)-14.0	(9-10)-15.0	(9-10)-32.0	(9-10)-46.0	(9-10)-50.0	(9-10)-53.0	(9-10)-54.0	(9-10)-61.0	(9-10)-62.0	(9-10)-63.0	(9-10)-64.0	(9-10)-65.0
1.0	0.9999250056245776	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06	4.9996250281228885e-06
3.0	0.9290859192212025	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	0.06965878815125708	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05	8.966375911006215e-05
6.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
13.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
14.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
15.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
32.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
46.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
50.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
53.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
54.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
61.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
62.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
63.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
64.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
65.0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
