	(14-15)-1.0	(14-15)-2.0	(14-15)-3.0	(14-15)-4.0	(14-15)-5.0	(14-15)-6.0	(14-15)-7.0	(14-15)-8.0	(14-15)-9.0	(14-15)-10.0
1.0	0.9998900080995495	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05	1.2221322272331428e-05
2.0	0.9995053258074674	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05	5.496379917022829e-05
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	9.99910008099271e-06	9.99910008099271e-06	9.99910008099271e-06	9.99910008099271e-06	9.99910008099271e-06	9.99910008099271e-06	0.9999100080992709	9.99910008099271e-06	9.99910008099271e-06	9.99910008099271e-06
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
