	(10-11)-1.0	(10-11)-2.0	(10-11)-3.0	(10-11)-4.0	(10-11)-5.0	(10-11)-6.0	(10-11)-7.0	(10-11)-8.0	(10-11)-9.0	(10-11)-10.0	(10-11)-11.0	(10-11)-12.0	(10-11)-13.0	(10-11)-14.0	(10-11)-15.0	(10-11)-16.0	(10-11)-17.0	(10-11)-18.0	(10-11)-19.0	(10-11)-20.0	(10-11)-21.0	(10-11)-22.0	(10-11)-23.0	(10-11)-24.0	(10-11)-25.0
1.0	0.8999793004760899	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	9.999770005289888e-07	0.09999770005289887
2.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
3.0	7.870670942255392e-06	7.870670942255392e-06	0.7870670942255391	7.870670942255392e-06	0.21275188034278797	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06	7.870670942255392e-06
4.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
5.0	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	0.9996712014773607	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05	1.369993844335752e-05
6.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
7.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
8.0	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	0.9999657154611851	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06	1.428522450658836e-06
9.0	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	0.9997600575861781	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06	9.997600575861782e-06
10.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
