	(19-20)-1.0	(19-20)-2.0	(19-20)-3.0	(19-20)-4.0	(19-20)-5.0	(19-20)-6.0	(19-20)-7.0	(19-20)-8.0	(19-20)-9.0	(19-20)-10.0	(19-20)-11.0	(19-20)-12.0	(19-20)-13.0	(19-20)-14.0	(19-20)-15.0	(19-20)-16.0	(19-20)-17.0	(19-20)-18.0	(19-20)-19.0	(19-20)-20.0	(19-20)-21.0	(19-20)-22.0	(19-20)-23.0	(19-20)-24.0	(19-20)-25.0	(19-20)-26.0	(19-20)-27.0	(19-20)-28.0	(19-20)-29.0	(19-20)-30.0	(19-20)-31.0	(19-20)-32.0	(19-20)-33.0	(19-20)-34.0	(19-20)-35.0	(19-20)-36.0	(19-20)-37.0	(19-20)-38.0	(19-20)-39.0
1.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
2.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
3.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
4.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
5.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
6.0	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	0.9998945992000626	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06	2.7737052614949655e-06
7.0	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	0.29446296928189436	0.7054751765761185	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06	1.6717335672769706e-06
8.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
9.0	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562	0.02564102564102562
10.0	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	0.7747246013350327	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	0.22490553551433115	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06	9.99630136849364e-06
