	id	groupid	start	end	meanlat	meanlon	StartEndStayptFlag	duration
0	2.0	0	2007-04-12 14:00:00.000000	2007-04-12 14:26:03.642808	39.975758333333296	116.3300166666665	N	26.05
1	17.0	0	2007-04-15 15:06:41.398316	2007-04-15 17:35:46.692073	39.96968333333335	116.313258333333	Y	149.08333333333334
2	18.0	0	2007-04-15 22:23:13.307927	2007-04-16 00:52:05.265829	39.975016666666704	116.31935	Y	148.85
3	20.0	0	2007-04-16 00:54:54.734171	2007-04-16 03:27:00.000000	39.975383333333326	116.33016666666663	Y	152.08333333333334
4	21.0	0	2007-04-16 00:56:00.000000	2007-04-16 03:28:21.444930	39.975383333333326	116.33016666666663	Y	152.35
5	25.0	0	2007-04-16 03:31:38.555070	2007-04-16 03:55:09.235220	39.98214583333333	116.32473333333326	N	23.5
6	28.0	0	2007-04-16 03:57:50.764780	2007-04-16 05:56:18.701335	39.975333333333296	116.32965	Y	118.45
7	29.0	0	2007-04-16 07:33:41.298665	2007-04-16 09:43:41.631256	39.9801166666667	116.3274	Y	130.0
8	34.0	0	2007-04-16 09:55:18.368744	2007-04-16 15:05:00.000000	39.97534791666669	116.33027916666649	Y	309.68333333333334
9	35.0	0	2007-04-16 10:08:00.000000	2007-04-16 15:06:11.649989	39.97534791666669	116.33027916666649	Y	298.18333333333334
10	41.0	0	2007-04-16 15:13:48.350011	2007-04-16 19:47:26.950128	39.9687888888889	116.31261111111132	Y	273.6333333333333
11	42.0	0	2007-04-16 20:09:33.049872	2007-04-17 00:43:17.424422	39.97252777777778	116.31257222222217	Y	273.73333333333335
12	46.0	0	2007-04-17 00:50:42.575578	2007-04-17 01:47:07.456354	39.975316666666664	116.33037222222201	Y	56.4
13	47.0	0	2007-04-17 02:32:52.543646	2007-04-17 03:29:30.000000	39.9799	116.3275	Y	56.61666666666667
14	48.0	0	2007-04-17 03:29:30.000000	2007-04-17 03:54:37.780381	39.98168333333336	116.32453749999999	N	25.116666666666667
15	52.0	0	2007-04-17 03:58:22.219619	2007-04-17 04:44:14.564766	39.96855	116.31726666666701	Y	45.86666666666667
16	53.0	0	2007-04-17 09:04:45.435234	2007-04-17 09:51:55.916984	39.9813166666667	116.32456666666701	Y	47.166666666666664
