	id	groupid	start	end	meanlat	meanlon	StartEndStayptFlag
0	1.0	0	2008-05-01 23:43:00	2008-05-01 23:43:00	39.9018888888889	116.42029444444466	Y
1	2.0	0	2008-05-02 03:29:00	2008-05-02 03:29:00	39.9633666666667	119.58555	Y
2	6.0	0	2008-05-02 04:24:00	2008-05-02 04:24:00	39.95425	119.587	Y
3	7.0	0	2008-05-02 05:02:00	2008-05-02 05:02:00	39.95465	119.58705	Y
4	8.0	0	2008-05-02 05:13:00	2008-05-02 05:13:00	39.9571	119.585016666667	Y
5	9.0	0	2008-05-02 06:37:00	2008-05-02 06:37:00	40.001825	119.754525	Y
6	12.0	0	2008-05-02 07:09:00	2008-05-02 07:49:00	40.009102380952406	119.7538952380953	N
7	18.0	0	2008-05-02 09:15:00	2008-05-02 09:54:00	39.96816111111112	119.79259027777766	N
8	19.0	0	2008-05-02 10:02:00	2008-05-02 10:39:00	39.96695740740739	119.79424259259255	N
9	49.0	0	2008-05-02 11:59:00	2008-05-02 11:59:00	39.934833333333295	119.6391	Y
10	50.0	0	2008-05-03 10:27:00	2008-05-03 10:27:00	39.9306	119.6067	Y
11	51.0	0	2008-05-03 10:52:00	2008-05-03 10:52:00	39.9631166666667	119.585433333333	Y
12	52.0	0	2008-05-03 11:26:00	2008-05-03 11:26:00	39.962216666666706	119.58625	Y
13	95.0	0	2008-05-03 13:49:00	2008-05-03 13:49:00	39.75775	117.87605	Y
14	96.0	0	2008-05-05 09:54:00	2008-05-05 09:54:00	40.0086083333333	116.3227416666665	Y
15	97.0	0	2008-05-05 10:03:00	2008-05-05 10:03:00	40.006316666666706	116.320316666667	Y
16	98.0	0	2008-05-06 05:18:00	2008-05-06 05:18:00	39.991333333333294	116.319966666667	Y
17	103.0	0	2008-05-06 05:31:00	2008-05-06 05:31:00	39.9816333333333	116.30795	Y
18	104.0	0	2008-05-06 09:43:00	2008-05-06 09:43:00	39.9914833333333	116.30795	Y
19	108.0	0	2008-05-06 09:58:00	2008-05-06 09:58:00	39.9860166666667	116.327166666667	Y
20	109.0	0	2008-05-06 10:38:00	2008-05-06 10:38:00	39.989566666666704	116.32705	Y
21	115.0	0	2008-05-06 10:52:00	2008-05-06 10:52:00	40.006116666666706	116.320366666667	Y
22	116.0	0	2008-05-07 07:41:00	2008-05-07 07:41:00	40.00675833333335	116.31902500000001	Y
23	118.0	0	2008-05-07 08:18:00	2008-05-07 08:18:00	40.006533333333294	116.320466666667	Y
24	119.0	0	2008-05-16 10:29:00	2008-05-16 10:29:00	39.98005	116.327683333333	Y
25	126.0	0	2008-05-16 11:01:00	2008-05-16 11:01:00	39.997375000000005	116.3002666666665	Y
26	127.0	0	2008-05-16 13:03:00	2008-05-16 13:43:00	39.987727777777785	116.30225833333351	N
27	140.0	0	2008-05-16 14:12:00	2008-05-16 14:12:00	40.0058	116.320533333333	Y
28	141.0	0	2008-05-27 06:05:00	2008-05-27 06:05:00	40.005621999999995	116.321022	Y
29	187.0	0	2008-05-27 08:07:00	2008-05-27 08:07:00	39.91730963333332	116.30016853333335	Y
30	188.0	0	2008-05-27 09:25:00	2008-05-27 09:59:00	39.91820072282265	116.30077605655889	N
31	189.0	0	2008-05-27 10:17:00	2008-05-27 10:57:00	39.918155919905296	116.30040414687306	N
32	195.0	0	2008-05-27 12:11:00	2008-05-27 12:33:00	39.91847516241707	116.3084100208369	N
33	200.0	0	2008-05-27 13:04:00	2008-05-27 13:38:00	39.91810135588675	116.30018639458213	N
