	(15-16)-1.0	(15-16)-2.0	(15-16)-3.0	(15-16)-4.0	(15-16)-5.0	(15-16)-6.0	(15-16)-7.0	(15-16)-8.0	(15-16)-9.0	(15-16)-10.0	(15-16)-11.0	(15-16)-12.0	(15-16)-13.0	(15-16)-14.0	(15-16)-15.0	(15-16)-16.0	(15-16)-17.0	(15-16)-18.0	(15-16)-19.0	(15-16)-20.0	(15-16)-21.0	(15-16)-22.0	(15-16)-23.0	(15-16)-24.0	(15-16)-25.0
1.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
2.0	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	0.49978289764115147	0.49978289764115147	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05	1.887846598689843e-05
3.0	2.499856258265153e-06	2.499856258265153e-06	0.7499568774795459	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	0.2499856258265153	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06	2.499856258265153e-06
4.0	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	0.499755712059699	0.499755712059699	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05	2.1242429591374756e-05
5.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
6.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
7.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
8.0	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	0.8956617896366218	1.3222878754926845e-06	1.3222878754926845e-06	0.07436939682186078	0.029939723208257326	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06	1.3222878754926845e-06
9.0	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	0.9997600575861784	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06
10.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
11.0	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	0.4758448636724571	3.310063253558798e-06	3.310063253558798e-06	0.33100632535587976	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	3.310063253558798e-06	0.19307598958008468
12.0	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	0.9997600575861784	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06	9.997600575861786e-06
13.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
14.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
15.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
16.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
17.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
18.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
19.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
20.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
21.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
22.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
23.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
24.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
25.0	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	2.398426632129323e-05	0.999424377608289
