	(6-7)-1.0	(6-7)-10.0	(6-7)-11.0	(6-7)-16.0	(6-7)-18.0	(6-7)-20.0	(6-7)-22.0	(6-7)-23.0	(6-7)-24.0	(6-7)-26.0	(6-7)-28.0	(6-7)-29.0	(6-7)-32.0	(6-7)-33.0	(6-7)-35.0	(6-7)-36.0	(6-7)-42.0	(6-7)-51.0	(6-7)-69.0	(6-7)-95.0	(6-7)-98.0	(6-7)-99.0	(6-7)-25.0	(6-7)-102.0	(6-7)-105.0	(6-7)-109.0	(6-7)-119.0	(6-7)-120.0	(6-7)-134.0	(6-7)-142.0	(6-7)-143.0	(6-7)-151.0	(6-7)-157.0	(6-7)-19.0	(6-7)-40.0	(6-7)-167.0	(6-7)-168.0	(6-7)-172.0	(6-7)-174.0	(6-7)-34.0	(6-7)-182.0
1.0	5.984440454817462e-05	5.984440454817462e-05	0.9976062238180707	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05	5.984440454817462e-05
10.0	1.665556295802803e-05	1.665556295802803e-05	0.9993337774816817	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05	1.665556295802803e-05
11.0	0.00019841269841269795	0.00019841269841269795	0.9920634920634898	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795	0.00019841269841269795
16.0	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	0.9999090991728057	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06	2.272520679938195e-06
18.0	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	0.6524180936550253	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	0.1049070039637656	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	0.07540006491526598	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	0.013120752230232824	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	0.03934258539799947	1.9671292698999737e-06	0.11474265031326547	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06	1.9671292698999737e-06
20.0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
22.0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
23.0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
24.0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
26.0	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	0.9993849938499406	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05	1.5375153751537548e-05
