	(14-15)-1.0	(14-15)-2.0	(14-15)-3.0	(14-15)-4.0	(14-15)-5.0	(14-15)-6.0	(14-15)-7.0	(14-15)-8.0	(14-15)-9.0	(14-15)-10.0	(14-15)-11.0	(14-15)-12.0	(14-15)-13.0	(14-15)-14.0	(14-15)-15.0	(14-15)-16.0	(14-15)-17.0	(14-15)-18.0	(14-15)-19.0	(14-15)-20.0	(14-15)-21.0	(14-15)-22.0	(14-15)-23.0	(14-15)-24.0	(14-15)-25.0	(14-15)-26.0	(14-15)-27.0	(14-15)-28.0	(14-15)-29.0	(14-15)-30.0	(14-15)-31.0	(14-15)-32.0	(14-15)-33.0	(14-15)-34.0	(14-15)-35.0	(14-15)-36.0	(14-15)-37.0	(14-15)-38.0	(14-15)-39.0	(14-15)-40.0	(14-15)-41.0	(14-15)-42.0
1.0	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787
2.0	4.999000199960002e-06	0.49990001999600014	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	0.49990001999600014	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06	4.999000199960002e-06
3.0	9.995901680311049e-06	9.995901680311049e-06	0.9995901680311048	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06
4.0	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	0.6366731919760684	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	0.10378838444972613	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	0.25947096112431534	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06	1.7298064074954357e-06
5.0	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	0.9995901680311048	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06	9.995901680311049e-06
6.0	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787
7.0	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787
8.0	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	0.32157055180287564	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	0.2616680052649337	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	0.4165989693341495	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06	4.165989693341495e-06
9.0	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787	0.023809523809523787
10.0	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	0.9990214684618556	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05	2.3866622881553734e-05
